Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2017/12/29 3:41:49 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,No,De 3501 a 4500 soles,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources,No conozco,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,CodeIgniter (PHP);Spring Boot (Java),jQuery;jQuery UI,,Grunt,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Una nube privada (implementación a medida),Documentación en la web;Cursos en línea de plataformas de pago;En la universidad o instituto,Webapps móviles (híbridas para cualquier plataforma),Phonegap
2017/12/29 3:42:13 p. m. GMT-5,Callao,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Más de 6 años,Menos de 1 año,Laravel (PHP),jQuery;AngularJS,SASS;LESS,Grunt,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior)",Android,NativeScript
2017/12/29 3:42:48 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);Symfony (PHP),jQuery;jQuery UI,,,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto,Webapps móviles (híbridas para cualquier plataforma),
2017/12/29 3:43:13 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente e independiente,No,No,,,Sí,De 1501 a 2500 soles,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,,jQuery,SASS,,MySQL;Microsoft SQL Server;Oracle Database,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",,
2017/12/29 3:46:57 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 4501 a 5500 soles,Ha aumentado,Mac,Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,Laravel (PHP);Symfony (PHP),jQuery;jQuery UI,LESS,Gulp,MySQL,Redis,Amazon Web Services;Google Cloud Platform,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo,Webapps móviles (híbridas para cualquier plataforma),Phonegap
2017/12/29 3:47:14 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS;React,SASS;LESS,WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas",Android;Webapps móviles (híbridas para cualquier plataforma),Reac Native;NativeScript
2017/12/29 3:52:16 p. m. GMT-5,Arequipa,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,No,De 5501 a más,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,De 1 a 3 años,No conozco,De 4 a 6 años,No conozco,Más de 6 años,De 1 a 3 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Symfony (PHP),jQuery;jQuery UI;AngularJS,Stylus;PostCSS,Grunt,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android,
2017/12/29 4:05:04 p. m. GMT-5,Lima,17 - 23 años,Hombre,Escolar,De 4 a 6 años,Trabajo como independiente,,,,Sí,No,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;AngularJS,SASS,Grunt;Gulp,MySQL,,Amazon Web Services;Google Cloud Platform;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",,
2017/12/29 4:06:56 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Consola,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery,,,MySQL;Microsoft SQL Server,,Amazon Web Services,En la universidad o instituto,,
2017/12/29 4:10:32 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP);Django (Python);Ruby on Rails;Spring Boot (Java),jQuery;jQuery UI;AngularJS,,,MySQL;Microsoft SQL Server,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto;Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),
2017/12/29 4:25:00 p. m. GMT-5,Ica,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 4501 a 5500 soles,Ha aumentado,GNU/Linux,Consola;Depurador de JavaScript / Debugger,No conozco,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,Spring Boot (Java),AngularJS,SASS,Grunt,MySQL;Microsoft SQL Server;Oracle Database,MongoDB;Redis;Apache Cassandra,Amazon Web Services,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",Android;iOS,
2017/12/29 4:30:32 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,No conozco,Django (Python),jQuery;jQuery UI;AngularJS,LESS;Stylus;Pug,Gulp;WebPack,MySQL;PostgreSQL,MongoDB,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),Apache Cordova
2017/12/29 4:30:55 p. m. GMT-5,Callao,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,No,,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Flask (Python);Webpy (Python);Bottle (Python),jQuery;AngularJS;React;Vue.js,SASS;Stylus;PostCSS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services;Google Cloud Platform;Microsoft Azure;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Comunidades locales de desarrollo;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Reac Native
2017/12/29 4:32:03 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Django (Python),jQuery;jQuery UI;AngularJS,,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Google Cloud Platform;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,
2017/12/29 4:33:17 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,No,,,No,De 5501 a más,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,De 4 a 6 años,Más de 6 años,De 4 a 6 años,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP);Play Framework (Java);Spring Boot (Java),jQuery;AngularJS;React;Ember.js;Vue.js,PostCSS,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis;Apache Cassandra;CouchDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",,Ionic Framework;Apache Cordova;Phonegap;Reac Native
2017/12/29 5:01:47 p. m. GMT-5,Junín,24 - 30 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,No,De 2501 a 3500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);Spring Boot (Java),jQuery,SASS;Pug,Grunt;Gulp,PostgreSQL,,,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",,
2017/12/29 5:02:21 p. m. GMT-5,Cusco,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,No conozco,CodeIgniter (PHP);Spring Boot (Java),,,,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",,
2017/12/29 5:06:48 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 4501 a 5500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,Django (Python),React;Vue.js,SASS;Pug;PostCSS,WebPack,Microsoft SQL Server,MongoDB,Amazon Web Services;Google Cloud Platform;Microsoft Azure;IBM Cloud,Documentación en la web;Cursos en línea de plataformas de pago;Comunidades locales de desarrollo,,
2017/12/29 5:08:43 p. m. GMT-5,Piura,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP),jQuery;AngularJS,SASS,,MySQL,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2017/12/29 5:09:52 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 2501 a 3500 soles,Es igual,GNU/Linux,Editor de estilos / Sources / Resources,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;AngularJS,SASS,Grunt,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android,
2017/12/29 5:11:01 p. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,No,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP);Zend Framework,jQuery;jQuery UI;AngularJS;React;Vue.js,SASS;Stylus;Pug,,MySQL,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups",Webapps móviles (híbridas para cualquier plataforma),Phonegap
2017/12/29 5:50:14 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;jQuery UI;AngularJS,SASS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;Oracle Database,MongoDB;Redis,Amazon Web Services;IBM Cloud,Documentación en la web;Cursos en línea de plataformas de pago;En la universidad o instituto,Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova
2017/12/29 6:18:33 p. m. GMT-5,Lima,24 - 30 años,Hombre,Maestría,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 4501 a 5500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Más de 6 años,Menos de 1 año,Django (Python);Flask (Python),jQuery;jQuery UI;AngularJS;React;D3.js,SASS;Pug,WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis,Amazon Web Services;Google Cloud Platform;Heroku,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),Reac Native
2017/12/29 6:48:56 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Mac,Consola,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Sinatra (Ruby),React;Vue.js,SASS;Stylus;CoffeeScript,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis;Firebase,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas",Android;iOS,
2017/12/29 7:04:40 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Play Framework (Java);Flask (Python);Sinatra (Ruby);Webpy (Python);Bottle (Python);Cuba (Ruby),jQuery;jQuery UI;AngularJS;React;D3.js;Dojo;Vue.js,SASS;LESS;Stylus;Pug;CoffeeScript;PostCSS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services,"Documentación en la web;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework
2017/12/29 7:15:03 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola,Menos de 1 año,No conozco,Más de 6 años,Menos de 1 año,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;jQuery UI;AngularJS;Dojo,Stylus;CoffeeScript,Grunt;Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Phonegap
2017/12/29 7:24:10 p. m. GMT-5,Arequipa,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,Menos de 1 año,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Más de 6 años,Menos de 1 año,Django (Python);Symfony (PHP),jQuery;jQuery UI;AngularJS,SASS;LESS;CoffeeScript,Gulp,MySQL;PostgreSQL,MongoDB;Redis,Una nube privada (implementación a medida),"Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas",Android;iOS,Ionic Framework
2017/12/29 7:36:51 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Inspector de memoria / Profiles / Memory,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,Laravel (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS;React;Zepto.js;Vue.js,SASS;Stylus;Pug,Gulp;WebPack,MySQL;Microsoft SQL Server;Oracle Database,,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",,
2017/12/29 7:50:15 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,Trabajo como independiente,,,,No,No,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;AngularJS;React;Vue.js,SASS;Pug,Grunt,MySQL,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android,
2017/12/29 7:57:22 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Ruby on Rails;Sinatra (Ruby);Cuba (Ruby),jQuery;jQuery UI;AngularJS;Backbone.js;React;D3.js,SASS;CoffeeScript,Sprockets,MySQL;Microsoft SQL Server;PostgreSQL,Redis,Amazon Web Services,Documentación en la web;Cursos en línea de plataformas de pago;Cursos de educación continua (fuera de planes de estudio superior),Android;iOS,
2017/12/29 8:01:47 p. m. GMT-5,Lima,31 - 40 años,Hombre,Estudiantes de instituto,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,Más de 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS,,,MySQL;Microsoft SQL Server;PostgreSQL,,Una nube privada (implementación a medida),Documentación en la web;Cursos en línea de plataformas de pago,Android;Webapps móviles (híbridas para cualquier plataforma),
2017/12/29 8:06:28 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Symfony (PHP),jQuery;jQuery UI;AngularJS;React;Vue.js,SASS;LESS;Stylus,Grunt;Gulp;WebPack,MySQL,MongoDB;Redis,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform;IBM Cloud,"Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova;Phonegap;Reac Native
2017/12/29 8:17:14 p. m. GMT-5,Lambayeque,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);Django (Python);Play Framework (Java),Framework7,SASS;Pug,Grunt;Brocoli,MySQL;Microsoft SQL Server;PostgreSQL,Apache Cassandra,Una nube privada (implementación a medida),Documentación en la web,Android,Apache Cordova
