Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2017/12/28 9:28:15 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,No,De 2501 a 3500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,jQuery;jQuery UI,LESS,,Microsoft SQL Server;Oracle Database,,,Documentación en la web,,
2017/12/28 9:32:33 a. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;AngularJS;React,Stylus,Gulp,MySQL;Microsoft SQL Server;Oracle Database,,Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,
2017/12/28 9:42:23 a. m. GMT-5,Lima,24 - 30 años,Mujer,Estudiante de universidad,Menos de 1 año,Trabajo como dependiente,,,No,,No,Menos de 1500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,,,,Microsoft SQL Server;Oracle Database,,,Documentación en la web;YouTube,,
2017/12/28 9:58:37 a. m. GMT-5,Ucayali,17 - 23 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola,De 4 a 6 años,No conozco,De 4 a 6 años,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Zend Framework;Symfony (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS,SASS;LESS,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,
2017/12/28 10:05:24 a. m. GMT-5,Huánuco,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);Symfony (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS,SASS;LESS,Grunt;Brocoli;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior)",Android,Reac Native;NativeScript
2017/12/28 10:06:14 a. m. GMT-5,Áncash,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Es igual,Microsoft Windows,Consola;Editor de estilos / Sources / Resources,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,Menos de 1 año,Symfony (PHP),jQuery;jQuery UI,LESS,Grunt,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework
2017/12/28 10:07:27 a. m. GMT-5,Huánuco,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP);Play Framework (Java);Spring Boot (Java),jQuery;jQuery UI;AngularJS,SASS;PostCSS,Grunt,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android;Webapps móviles (híbridas para cualquier plataforma),
2017/12/28 10:26:34 a. m. GMT-5,Huánuco,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Laravel (PHP);Ruby on Rails;Flask (Python),jQuery;React;Vue.js,SASS;PostCSS,Gulp;WebPack,MySQL;PostgreSQL,,Una nube privada (implementación a medida);Google Cloud Platform;Digital Ocean,Documentación en la web;Cursos en línea de plataformas de pago;Cursos de educación continua (fuera de planes de estudio superior),,
2017/12/28 10:35:17 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,No,Menos de 1500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Flask (Python);Sinatra (Ruby),jQuery,SASS;LESS,Grunt;Gulp,MySQL,MongoDB;Redis,Amazon Web Services,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups,Webapps móviles (híbridas para cualquier plataforma),
2017/12/28 10:35:52 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 4 a 6 años,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,CodeIgniter (PHP);Symfony (PHP),jQuery;jQuery UI,SASS;LESS,Grunt;Gulp,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto;http://lordvalor.com/",Android;Webapps móviles (híbridas para cualquier plataforma),NativeScript
