,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Región en la que vives actualmente,Grado de instrucción,Edad,Género,Situación laboral,"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,¿Qué sistema operativo usas principalmente para desarrollo web?,Other,ASP.NET,Java,node.js / io.js,PHP,Python,Ruby,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),Zend Framework (PHP),Bottle (Python),Django (Python),Flask (Python),webpy (Python),Cuba (Ruby),Ruby on Rails,Sinatra (Ruby),AJAX,CSS,Flash/ActionScript,HTML,JavaScript,AngularJS,backbone.js,backbone.js + chaplin.js,backbone.marionette.js,backbone.js + Thorax,D3.js,dojo,ember.js,jQuery,jQuery UI,React,Zepto.js,Other,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,Other,¿Haces desarrollos para plataformas móviles? ¿Para cuáles?,Start Date (UTC),Submit Date (UTC),Network ID
c7757ede33bd6ae0127102ef5bfc794e,Lima,Estudiante en universidad,17 - 23 años,Femenino,No trabajo actualmente,1,Menos de 1500 nuevos soles,Windows,,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,,,,,,,,,,Ruby on Rails,,No conozco,Más de 6 años,No conozco,Más de 6 años,Más de 6 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,,,,Seminarios web,,,,,,,2015-03-25 22:38:46,2015-03-25 22:40:08,13cec3b6d0
7a3f82908ab4de4852b1641bde3861ed,Lima,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,,,,,Ruby on Rails,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,,,"Cursos en línea, en plataformas de pago",,,,Android,2015-03-25 22:59:53,2015-03-25 23:01:37,a214f38b9b
3bf6803625bd7ecb423c75ac88166acb,Tacna,Graduado de instituto,41 - 50 años,Masculino,Trabajo como independiente,1,De 1501 a 2500,Windows,,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Menos de 1 año,No conozco,Play Framework (Java),,Symfony2 (PHP),,,,,,,,,Menos de 1 año,4 a 6 años,4 a 6 años,Más de 6 años,4 a 6 años,,,,,,,,,jQuery,,,,,En la universidad o instituto,,,Documentación en la web,Seminarios web,,,,Comunidades locales de desarrolladores,,Android,2015-03-25 23:31:36,2015-03-25 23:35:20,b69aeb039e
cbaa66215b4e41d4ded7816e60748128,Lima,Graduado de instituto,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 2501 a 3500,Linux,,Menos de 1 año,Menos de 1 año,No conozco,4 a 6 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,4 a 6 años,Menos de 1 año,No conozco,4 a 6 años,4 a 6 años,,,,,,,,,jQuery,,,,,,,,Documentación en la web,,,,,,,Android,2015-03-25 23:34:06,2015-03-25 23:36:16,7c58fd7e4e
368249e20fec6b51813fa3b3e9e1f8cd,La Libertad,Maestría,31 - 40 años,Masculino,Trabajo como independiente,1,De 3501 a 4500,Linux,,1 a 3 años,Menos de 1 año,1 a 3 años,Más de 6 años,1 a 3 años,1 a 3 años,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,webpy (Python),,Ruby on Rails,,4 a 6 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,,,,,,Android,2015-03-25 23:35:43,2015-03-25 23:38:15,d8090d90e0
8a526dc8d968683dfeff8c03143b126f,San Martín,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente e independiente,0,Menos de 1500 nuevos soles,Linux,,No conozco,No conozco,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Webapps móviles (en general),2015-03-25 23:37:49,2015-03-25 23:43:15,bdcb7ef7ae
06354d3e765040edd0c7822ca6dec023,Piura,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,0,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,Menos de 1 año,Menos de 1 año,,,Symfony2 (PHP),,,,,,,,,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,En grupos de amigos o compañeros de trabajo,,,Android,2015-03-25 23:41:08,2015-03-25 23:43:37,168256b18b
0b4c13ad8fbbaf95ecf44979d92f650e,Lambayeque,Estudiante en universidad,17 - 23 años,Masculino,No trabajo actualmente,0,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,Ruby on Rails,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,Menos de 1 año,AngularJS,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,,,,,En grupos de amigos o compañeros de trabajo,,,Android,2015-03-25 23:53:59,2015-03-25 23:57:29,aa31c6c395
7a1e7901d8d0fe27e2526c6e63341734,Puno,Graduado de universidad,24 - 30 años,Masculino,Trabajo como independiente,0,Menos de 1500 nuevos soles,Linux,,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,,Laravel (PHP),,,,,,,,,,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,,Comunidades locales de desarrolladores,,Android,2015-03-25 23:53:44,2015-03-25 23:57:40,6ffe2cffa8
1721099ad2e4aac4001dea49d543d5c3,Ayacucho,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,,,,,,,,,,,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,,,,,,,Android,2015-03-25 23:57:01,2015-03-26 00:02:39,ab8a5c890d
91d686e6573007f2cbebe25f64cb371d,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Linux,,No conozco,No conozco,Menos de 1 año,No conozco,1 a 3 años,No conozco,,,,,,Django (Python),,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,Menos de 1 año,AngularJS,,,,,,,,jQuery,,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,Comunidades locales de desarrolladores,,Android,2015-03-26 00:01:09,2015-03-26 00:04:21,a045b70909
c79111fe97bc45d901f11fd929d72ee7,Piura,Graduado de instituto,24 - 30 años,Masculino,Trabajo como dependiente,0,De 1501 a 2500,Windows,,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Play Framework (Java),,,,,,,,,,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,,,,,,,,,jQuery,,,,,En la universidad o instituto,,,Documentación en la web,Seminarios web,,,,,,,2015-03-26 00:04:11,2015-03-26 00:07:25,593cd59a0f
e1baa9832cc2c8ffbd6489ec1410bd7c,Callao,Estudiante en universidad,24 - 30 años,Masculino,No trabajo actualmente,1,De 1501 a 2500,Windows,,1 a 3 años,Menos de 1 año,No conozco,4 a 6 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,4 a 6 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,,,En grupos de amigos o compañeros de trabajo,,,Android,2015-03-26 00:07:10,2015-03-26 00:10:05,b3053ae656
dfa96981dc7cfb825c168701f96d0732,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,De 1501 a 2500,Windows,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,,,,,,,,,,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,,,,,,,,,,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,,2015-03-26 00:09:29,2015-03-26 00:15:04,4674895aa8
fece63fa522aafd599b7bef7f0758962,Ancash,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,,,,,,Django (Python),,,,,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,,,Documentación en la web,Seminarios web,,,En grupos de amigos o compañeros de trabajo,,,,2015-03-26 00:33:48,2015-03-26 00:36:49,2ba954b11f
4a64b46da0ca4a181834174373e96fdf,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 1501 a 2500,Linux,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,No conozco,Menos de 1 año,,Laravel (PHP),,,,,,,,,,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,,Webapps móviles (en general),2015-03-26 00:07:15,2015-03-26 00:39:51,5677a5152d
524235793645c23f87724a547e19ebcf,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 1501 a 2500,Windows,,4 a 6 años,1 a 3 años,Menos de 1 año,1 a 3 años,Menos de 1 año,No conozco,,,,,,Django (Python),,,,,,4 a 6 años,4 a 6 años,No conozco,4 a 6 años,4 a 6 años,AngularJS,,,,,,dojo,,jQuery,jQuery UI,,,,,,,Documentación en la web,,,,,,,iOS,2015-03-26 00:36:22,2015-03-26 00:40:39,8ec14d2cb2
76c959287ab83ef37f18574e980e49df,Lima,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como independiente,1,De 1501 a 2500,Windows,,No conozco,Menos de 1 año,No conozco,4 a 6 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,1 a 3 años,4 a 6 años,Menos de 1 año,Más de 6 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,Seminarios web,,,,Comunidades locales de desarrolladores,,Webapps móviles (en general),2015-03-26 00:39:30,2015-03-26 00:44:45,18423f660e
d0edb961d923c3e05837e38f65593dfd,Arequipa,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,Menos de 1 año,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,Django (Python),,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,,,,,,,,,Documentación en la web,,,,,,,,2015-03-26 00:49:55,2015-03-26 00:52:41,4359a3b375
ff84ce78b24f5be7918824156ff1558e,Cusco,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 2501 a 3500,Windows,,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,Menos de 1 año,,,Symfony2 (PHP),,,Django (Python),,,,Ruby on Rails,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,extjs,En la universidad o instituto,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Blackberry,2015-03-26 00:56:28,2015-03-26 01:00:01,9aab18e6d3
cba0e39bdf72d681892bed127aa40d22,Lima,Graduado de universidad,31 - 40 años,Masculino,Trabajo como dependiente,1,De 2501 a 3500,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,No conozco,,Laravel (PHP),,,,,,webpy (Python),,,,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,AngularJS,backbone.js,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,,,En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,,Android,2015-03-26 01:05:40,2015-03-26 01:12:42,ea5945d501
21813b0c0a78cdfa06e9c61b4eae8532,Lima,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,,,,,,,,,,,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,Menos de 1 año,AngularJS,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,,,,2015-03-26 01:00:01,2015-03-26 01:18:00,60459e7e24
588155d66d82f52293f023428dfef315,Junín,Graduado de universidad,24 - 30 años,Masculino,No trabajo actualmente,0,Menos de 1500 nuevos soles,Linux,,No conozco,1 a 3 años,Menos de 1 año,1 a 3 años,No conozco,No conozco,,,,,,,,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,En grupos de amigos o compañeros de trabajo,,,Android,2015-03-26 01:14:32,2015-03-26 01:20:36,742e7e4580
cf94663ae5883e5684b2fa3a21f11135,Lima,Estudiante en instituto,17 - 23 años,Masculino,Trabajo como dependiente e independiente,0,De 1501 a 2500,Windows,,Menos de 1 año,No conozco,Menos de 1 año,4 a 6 años,No conozco,No conozco,,,,,,,,,,,,1 a 3 años,4 a 6 años,1 a 3 años,Más de 6 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,En grupos de amigos o compañeros de trabajo,,,Webapps móviles (en general),2015-03-26 01:18:21,2015-03-26 01:24:48,275e2d0340
0de6d09becb9fc08e5ccacd79c26ef79,Lima,Graduado de instituto,24 - 30 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Play Framework (Java),Laravel (PHP),,,,,,,,,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),,,,,,,Comunidades locales de desarrolladores,,,2015-03-26 01:19:19,2015-03-26 01:26:12,0af504d86e
f13051d7cf505cf6ddf012bc9d587e23,Madre de Dios,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,1 a 3 años,No conozco,1 a 3 años,No conozco,No conozco,,,,,,,,,,,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,,,,,,,2015-03-26 01:26:34,2015-03-26 01:34:30,1a0e6eb951
c3b229a51fd6544424b522b03c0a1344,Lima,Graduado de universidad,31 - 40 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,No conozco,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,,,,,,,,Documentación en la web,,,,,,,Webapps móviles (en general),2015-03-26 01:38:22,2015-03-26 01:41:45,ca39f1ca86
1d070ba615a90d68da71d2e6487b5383,Puno,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como dependiente,0,Menos de 1500 nuevos soles,Windows,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,,,Symfony2 (PHP),,,,,,,,,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,En grupos de amigos o compañeros de trabajo,,,Webapps móviles (en general),2015-03-26 01:44:10,2015-03-26 01:50:23,be3fb1746f
d4b95304d97ed7668c69b07eed2d749d,Lima,Graduado de universidad,17 - 23 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Linux,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,,,,,,,,,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Android,2015-03-26 00:11:20,2015-03-26 01:54:39,14d9eb0664
05d5c7742cc57c16202b8b2ef07dd691,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,De 2501 a 3500,Windows,,No conozco,1 a 3 años,1 a 3 años,No conozco,No conozco,No conozco,Play Framework (Java),,,,,,,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,,,,,,Android,2015-03-26 01:45:52,2015-03-26 02:08:35,9c29c07611
12994582b25073e98e557a8385894a1d,Lima,Graduado de instituto,24 - 30 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,No conozco,No conozco,,,,,,,,,,,,4 a 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,Más de 6 años,,,,,,,,,jQuery,jQuery UI,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",,Seminarios web,,,En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,,,2015-03-26 02:42:52,2015-03-26 02:45:02,8c11b5f07b
4a5f32fe72b6af64e2afed1ff0e965d9,Lima,Estudiante en instituto,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 3501 a 4500,Linux,,Menos de 1 año,Menos de 1 año,No conozco,Más de 6 años,No conozco,Menos de 1 año,,Laravel (PHP),,,,,,,,Ruby on Rails,,Más de 6 años,1 a 3 años,Menos de 1 año,Más de 6 años,Más de 6 años,AngularJS,backbone.js,,,,,,,,jQuery UI,,,,,,,Documentación en la web,,,,,,,Android,2015-03-26 02:48:47,2015-03-26 02:51:47,e412208872
18939551a858bb69637684072d27c300,Lima,Graduado de universidad,17 - 23 años,Masculino,Trabajo como dependiente e independiente,1,De 1501 a 2500,Windows,,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,En grupos de amigos o compañeros de trabajo,,,Android,2015-03-26 03:05:23,2015-03-26 03:07:37,4747f2dd6e
6f162426874fbd74221119946270eac4,Arequipa,Estudiante en instituto,17 - 23 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,Menos de 1 año,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,AngularJS,,,,,,,,jQuery,,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,,,Android,2015-03-26 03:07:14,2015-03-26 03:10:02,42bfa08772
7801702fc34f9b28b748367372686a2a,Lima,Graduado de instituto,24 - 30 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,No conozco,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Android,2015-03-26 03:06:58,2015-03-26 03:11:39,8b8110ec7a
4b9cabb23a358ca4cc1db590a3ad11df,La Libertad,Graduado de instituto,17 - 23 años,Masculino,No trabajo actualmente,0,Menos de 1500 nuevos soles,Linux,,1 a 3 años,1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,,Laravel (PHP),Symfony2 (PHP),,,,,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,,,,,,,,,,,,,Comunidades locales de desarrolladores,,Windows phone,2015-03-26 03:19:29,2015-03-26 03:22:19,a106f8ab2b
74087f4cf0c303f5760bac511cb4aee7,Lima,Escolar,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 2501 a 3500,Linux,,No conozco,1 a 3 años,1 a 3 años,Más de 6 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),,,,Django (Python),,,,,,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Más de 6 años,AngularJS,backbone.js,,,,,,ember.js,jQuery,jQuery UI,React,,,,,,Documentación en la web,Seminarios web,,"Cursos en línea, en plataformas de pago",,,,Android,2015-03-26 03:42:57,2015-03-26 03:46:33,a38c8ce62e
7684b761b5fab89f6ba307f6bcae600e,Lima,Graduado de universidad,31 - 40 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,,,,,,,,,jQuery,,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,,Seminarios web,,,,,,Android,2015-03-26 03:39:05,2015-03-26 03:47:30,6a19af703b
767571574d3b56068f9019a765198aa2,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como independiente,1,De 4501 a 5500,Windows,,No conozco,Menos de 1 año,Menos de 1 año,4 a 6 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),,,,,,,,Ruby on Rails,,4 a 6 años,4 a 6 años,Menos de 1 año,4 a 6 años,4 a 6 años,AngularJS,,,,,,,,jQuery,jQuery UI,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,"Cursos en línea, en plataformas de pago",,,,Webapps móviles (en general),2015-03-26 03:50:57,2015-03-26 03:52:57,3847a3b86b
dc703eb3d8b7baa334e4e49569714e28,Callao,Escolar,17 - 23 años,Masculino,Trabajo como dependiente e independiente,1,De 1501 a 2500,Mac,,No conozco,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,Menos de 1 año,,Laravel (PHP),,,Bottle (Python),Django (Python),Flask (Python),,,Ruby on Rails,,4 a 6 años,4 a 6 años,1 a 3 años,Más de 6 años,4 a 6 años,AngularJS,backbone.js,,,,D3.js,dojo,,jQuery,jQuery UI,React,Zepto.js,,,,,Documentación en la web,,,,,,,iOS,2015-03-26 04:06:12,2015-03-26 04:09:04,a38c8ce62e
56a0c0ee8a5fe693a0fb09434ee9f3de,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como independiente,0,De 2501 a 3500,Mac,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,jQuery UI,,,meteor,En la universidad o instituto,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,Comunidades locales de desarrolladores,,Webapps móviles (en general),2015-03-26 04:16:40,2015-03-26 04:20:39,9df40ec0f1
56b401ad3b3235d34a35fc8c01f2e719,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente,1,De 1501 a 2500,Windows,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,,,,,,,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,,,,,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,,2015-03-26 04:18:20,2015-03-26 04:24:46,2b2f13346b
b4625c236d0c2aa74c155add45fa5cd4,Lambayeque,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente,0,De 1501 a 2500,Windows,,1 a 3 años,Menos de 1 año,No conozco,1 a 3 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,,,,,,,,,,,,,Extjs,En la universidad o instituto,,,,Seminarios web,,,,Comunidades locales de desarrolladores,,Android,2015-03-26 04:21:27,2015-03-26 04:27:00,72f5d59540
