,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Región en la que vives actualmente,Grado de instrucción,Edad,Género,Situación laboral,"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Cuál es tu ingreso mensual BRUTO (antes de descuentos) en soles?,¿Qué sistema operativo usas principalmente para desarrollo web?,Other,ASP.NET,Java,node.js / io.js,PHP,Python,Ruby,Play Framework (Java),Laravel (PHP),Symfony2 (PHP),Zend Framework (PHP),Bottle (Python),Django (Python),Flask (Python),webpy (Python),Cuba (Ruby),Ruby on Rails,Sinatra (Ruby),AJAX,CSS,Flash/ActionScript,HTML,JavaScript,AngularJS,backbone.js,backbone.js + chaplin.js,backbone.marionette.js,backbone.js + Thorax,D3.js,dojo,ember.js,jQuery,jQuery UI,React,Zepto.js,Other,En la universidad o instituto,Cursos de educación continua (fuera de los planes de estudio superiores),"Libros, revistas y otras publicaciones impresas",Documentación en la web,Seminarios web,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,Other,¿Haces desarrollos para plataformas móviles? ¿Para cuáles?,Start Date (UTC),Submit Date (UTC),Network ID
0ddf40cd75a312e34cdc5e6629a54e8a,Lima,Graduado de universidad,24 - 30 años,Masculino,No trabajo actualmente,1,De 2501 a 3500,Linux,,1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Play Framework (Java),,,,,,,,,,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,,,,,,D3.js,,,jQuery,jQuery UI,React,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Firefox OS,2015-03-25 04:37:46,2015-03-25 04:40:28,97d33aba36
2020c785aee881f049c227e8ec246f99,Lima,Estudiante en universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,0,De 1501 a 2500,Windows,,Más de 6 años,Más de 6 años,Menos de 1 año,No conozco,No conozco,Menos de 1 año,,,,,,,,,,Ruby on Rails,,1 a 3 años,1 a 3 años,No conozco,Más de 6 años,Más de 6 años,,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",,,,Webapps móviles (en general),2015-03-25 04:52:29,2015-03-25 04:57:07,c1a8ed9fe0
512dc16be9c24a1339584c59b615a093,La Libertad,Estudiante en universidad,17 - 23 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,,,,,1 a 3 años,Menos de 1 año,Menos de 1 año,4 a 6 años,1 a 3 años,,,,,,,,ember.js,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Android,2015-03-25 04:32:35,2015-03-25 05:00:46,340ce584ee
01a73f4485ed10cb23f852f200f6b304,Lima,Estudiante en instituto,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 4501 a 5500,Mac,,Menos de 1 año,Menos de 1 año,1 a 3 años,1 a 3 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),,,,,,,,,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,Más de 6 años,,backbone.js,,,,,,,jQuery,,,Zepto.js,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,,,,Webapps móviles (en general),2015-03-25 05:55:14,2015-03-25 06:01:32,f1a227c2ec
5cfb01279cd6dd1dd13d0a8b06e7aa4d,Callao,Estudiante en instituto,24 - 30 años,Masculino,Trabajo como dependiente,1,Menos de 1500 nuevos soles,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,Menos de 1 año,Menos de 1 año,,Laravel (PHP),Symfony2 (PHP),,,,,,,Ruby on Rails,,1 a 3 años,1 a 3 años,4 a 6 años,4 a 6 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,,,,En grupos de amigos o compañeros de trabajo,Comunidades locales de desarrolladores,,Webapps móviles (en general),2015-03-25 05:41:33,2015-03-25 06:02:42,97246038c4
b30b05675fcdc2b5bc97238fef3f8d9b,Tacna,Graduado de universidad,24 - 30 años,Masculino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Linux,,1 a 3 años,Menos de 1 año,1 a 3 años,4 a 6 años,No conozco,No conozco,,Laravel (PHP),,,,,,,,,,4 a 6 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,AngularJS,,,backbone.marionette.js,,D3.js,,,jQuery,jQuery UI,React,Zepto.js,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,,,Firefox OS,2015-03-25 11:52:52,2015-03-25 11:56:46,91bdecd509
43b8639d5fc1b21c07fca595d2d79e84,Lambayeque,Estudiante en universidad,17 - 23 años,Femenino,Trabajo como independiente,1,Menos de 1500 nuevos soles,Windows,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,Play Framework (Java),,,,,,,,,,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,Menos de 1 año,,,,,,,,,jQuery,,,,,,,,Documentación en la web,,,,,,,Webapps móviles (en general),2015-03-25 13:40:13,2015-03-25 13:44:27,036ac3864d
9a02537764f7dad547b1a5cb8e90ff98,Lima,Estudiante en instituto,24 - 30 años,Masculino,Trabajo como dependiente,1,De 2501 a 3500,Mac,,No conozco,Menos de 1 año,Menos de 1 año,4 a 6 años,Menos de 1 año,Menos de 1 año,,,,,,Django (Python),,,,Ruby on Rails,,1 a 3 años,Más de 6 años,1 a 3 años,Más de 6 años,4 a 6 años,AngularJS,,,,,,,,jQuery,jQuery UI,React,,,,Cursos de educación continua (fuera de los planes de estudio superiores),,Documentación en la web,Seminarios web,,,,Comunidades locales de desarrolladores,,Android,2015-03-25 14:51:38,2015-03-25 14:56:15,2417f80300
fa044cf72c81c02c34c3137091b1f006,Lima,Maestría,24 - 30 años,Masculino,Trabajo como dependiente,1,De 5501 a más,Windows,,No conozco,Más de 6 años,No conozco,No conozco,Menos de 1 año,No conozco,,,,,,,,,,,,4 a 6 años,4 a 6 años,No conozco,Más de 6 años,4 a 6 años,,,,,,,dojo,,,jQuery UI,,,extjs,En la universidad o instituto,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,,,Blackberry,2015-03-25 15:53:12,2015-03-25 15:54:54,253bfb9f67
3e6800d81d67e64f5b3f4e4dfc915095,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,1,De 3501 a 4500,Windows,,Menos de 1 año,Menos de 1 año,Menos de 1 año,4 a 6 años,1 a 3 años,No conozco,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),Flask (Python),,,,,4 a 6 años,Menos de 1 año,4 a 6 años,4 a 6 años,1 a 3 años,,,,,,,,,jQuery,jQuery UI,,,,,,,Documentación en la web,,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Cursos en línea, en plataformas de pago",En grupos de amigos o compañeros de trabajo,,,Android,2015-03-25 16:41:07,2015-03-25 16:46:22,c9ab697a6c
0289ce97a6f9c884f0a01c2e95114023,Arequipa,Estudiante en universidad,17 - 23 años,Masculino,No trabajo actualmente,1,Menos de 1500 nuevos soles,Windows,,No conozco,1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,,Laravel (PHP),,,,Django (Python),,,,Ruby on Rails,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,AngularJS,backbone.js,,,,,,,jQuery,,,,,,,"Libros, revistas y otras publicaciones impresas",Documentación en la web,,,,,Comunidades locales de desarrolladores,,Android,2015-03-25 16:45:27,2015-03-25 16:50:08,4b9e685b4c
365e81039fcc8a7dbc4af6fadcc9bb9e,Lima,Graduado de universidad,24 - 30 años,Masculino,Trabajo como dependiente e independiente,0,De 2501 a 3500,Linux,,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,1 a 3 años,,Laravel (PHP),Symfony2 (PHP),,,Django (Python),,webpy (Python),,Ruby on Rails,,1 a 3 años,1 a 3 años,4 a 6 años,Más de 6 años,1 a 3 años,AngularJS,,,,,,,ember.js,,,React,,,,,,Documentación en la web,,,,,,,Android,2015-03-25 16:52:44,2015-03-25 16:55:35,5d2e9e3278
